variant,margin_m,band_m,cohort,threshold,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m
aligned,0,250-300,all,5,93,93,5,60,2,2,58,0,33,64.51612903225806,2.1505376344086025,62.365591397849464,250.22779380742782,299.3158594442666
aligned,0,300-400,vehicles,1,33,33,4,26,4,3,23,1,6,78.78787878787878,12.121212121212121,66.66666666666666,301.1243306220302,397.6820703976072
aligned,0,300-400,vehicles,3,33,33,4,25,1,0,25,1,7,75.75757575757575,3.0303030303030303,72.72727272727273,301.1243306220302,397.6820703976072
aligned,0,300-400,vehicles,5,33,33,4,22,1,0,22,1,10,66.66666666666666,3.0303030303030303,63.63636363636363,301.1243306220302,397.6820703976072
aligned,0,300-400,passenger_cars,1,5,5,3,4,0,0,4,0,1,80.0,0.0,80.0,301.1243306220302,348.83265659385177
aligned,0,300-400,passenger_cars,3,5,5,3,4,0,0,4,0,1,80.0,0.0,80.0,301.1243306220302,348.83265659385177
aligned,0,300-400,passenger_cars,5,5,5,3,2,0,0,2,0,3,40.0,0.0,40.0,301.1243306220302,348.83265659385177
aligned,0,300-400,forward_vehicles,1,27,27,4,21,3,2,19,1,5,77.77777777777779,11.11111111111111,66.66666666666667,301.1243306220302,397.6820703976072
aligned,0,300-400,forward_vehicles,3,27,27,4,20,1,0,20,1,6,74.07407407407408,3.7037037037037033,70.37037037037037,301.1243306220302,397.6820703976072
aligned,0,300-400,forward_vehicles,5,27,27,4,17,1,0,17,1,9,62.96296296296296,3.7037037037037033,59.25925925925925,301.1243306220302,397.6820703976072
aligned,0,300-400,all,1,75,75,5,51,4,3,48,1,23,68.0,5.333333333333334,62.66666666666667,301.1243306220302,397.6820703976072
aligned,0,300-400,all,3,75,75,5,43,1,0,43,1,31,57.333333333333336,1.3333333333333335,56.00000000000001,301.1243306220302,397.6820703976072
aligned,0,300-400,all,5,75,75,5,37,1,0,37,1,37,49.333333333333336,1.3333333333333335,48.00000000000001,301.1243306220302,397.6820703976072
aligned,0,200-400,vehicles,1,55,55,4,40,17,14,26,3,12,72.72727272727273,30.909090909090907,41.81818181818182,201.06925163807026,397.6820703976072
aligned,0,200-400,vehicles,3,55,55,4,39,4,3,36,1,15,70.9090909090909,7.2727272727272725,63.63636363636363,201.06925163807026,397.6820703976072
aligned,0,200-400,vehicles,5,55,55,4,35,2,1,34,1,19,63.63636363636363,3.6363636363636362,60.0,201.06925163807026,397.6820703976072
aligned,0,200-400,passenger_cars,1,11,11,4,7,1,0,7,1,3,63.63636363636363,9.090909090909092,54.54545454545454,214.64145831489262,348.83265659385177
aligned,0,200-400,passenger_cars,3,11,11,4,7,0,0,7,0,4,63.63636363636363,0.0,63.63636363636363,214.64145831489262,348.83265659385177
aligned,0,200-400,passenger_cars,5,11,11,4,5,0,0,5,0,6,45.45454545454545,0.0,45.45454545454545,214.64145831489262,348.83265659385177
aligned,0,200-400,forward_vehicles,1,42,42,4,33,11,8,25,3,6,78.57142857142857,26.190476190476193,52.38095238095237,201.06925163807026,397.6820703976072
aligned,0,200-400,forward_vehicles,3,42,42,4,32,2,1,31,1,9,76.19047619047619,4.761904761904762,71.42857142857142,201.06925163807026,397.6820703976072
aligned,0,200-400,forward_vehicles,5,42,42,4,28,2,1,27,1,13,66.66666666666666,4.761904761904762,61.904761904761905,201.06925163807026,397.6820703976072
aligned,0,200-400,all,1,127,127,5,88,18,15,73,3,36,69.29133858267717,14.173228346456693,55.118110236220474,200.0625118208934,397.6820703976072
aligned,0,200-400,all,3,127,127,5,75,4,3,72,1,51,59.055118110236215,3.149606299212598,55.905511811023615,200.0625118208934,397.6820703976072
aligned,0,200-400,all,5,127,127,5,66,2,1,65,1,60,51.96850393700787,1.574803149606299,50.39370078740157,200.0625118208934,397.6820703976072
aligned,0.5,100-150,vehicles,1,66,66,4,62,57,56,6,1,3,93.93939393939394,86.36363636363636,7.57575757575758,100.380581386362,149.72193380985757
aligned,0.5,100-150,vehicles,3,66,66,4,58,51,50,8,1,7,87.87878787878788,77.27272727272727,10.606060606060607,100.380581386362,149.72193380985757
aligned,0.5,100-150,vehicles,5,66,66,4,53,40,37,16,3,10,80.3030303030303,60.60606060606061,19.696969696969692,100.380581386362,149.72193380985757
aligned,0.5,100-150,passenger_cars,1,22,22,3,18,14,13,5,1,3,81.81818181818183,63.63636363636363,18.181818181818187,100.380581386362,147.2730748425423
aligned,0.5,100-150,passenger_cars,3,22,22,3,15,10,10,5,0,7,68.18181818181817,45.45454545454545,22.727272727272723,100.380581386362,147.2730748425423
aligned,0.5,100-150,passenger_cars,5,22,22,3,12,4,4,8,0,10,54.54545454545454,18.181818181818183,36.36363636363636,100.380581386362,147.2730748425423
aligned,0.5,100-150,forward_vehicles,1,45,45,4,43,44,43,0,1,1,95.55555555555556,97.77777777777777,-2.2222222222222143,100.380581386362,149.72193380985757
aligned,0.5,100-150,forward_vehicles,3,45,45,4,42,39,38,4,1,2,93.33333333333333,86.66666666666667,6.666666666666665,100.380581386362,149.72193380985757
aligned,0.5,100-150,forward_vehicles,5,45,45,4,39,33,30,9,3,3,86.66666666666667,73.33333333333333,13.333333333333341,100.380581386362,149.72193380985757
aligned,0.5,100-150,all,1,127,127,5,118,92,88,30,4,5,92.91338582677166,72.44094488188976,20.472440944881885,100.380581386362,149.72193380985757
aligned,0.5,100-150,all,3,127,127,5,111,54,53,58,1,15,87.4015748031496,42.51968503937008,44.881889763779526,100.380581386362,149.72193380985757
aligned,0.5,100-150,all,5,127,127,5,104,40,37,67,3,20,81.88976377952756,31.496062992125985,50.39370078740157,100.380581386362,149.72193380985757
aligned,0.5,150-200,vehicles,1,65,65,4,59,57,52,7,5,1,90.76923076923077,87.6923076923077,3.076923076923077,151.8283587278215,199.9727196236663
aligned,0.5,150-200,vehicles,3,65,65,4,54,39,35,19,4,7,83.07692307692308,60.0,23.076923076923084,151.8283587278215,199.9727196236663
aligned,0.5,150-200,vehicles,5,65,65,4,49,26,22,27,4,12,75.38461538461539,40.0,35.38461538461538,151.8283587278215,199.9727196236663
aligned,0.5,150-200,passenger_cars,1,16,16,4,13,11,9,4,2,1,81.25,68.75,12.5,152.30494406940272,199.87630076942094
aligned,0.5,150-200,passenger_cars,3,16,16,4,11,4,3,8,1,4,68.75,25.0,43.75,152.30494406940272,199.87630076942094
aligned,0.5,150-200,passenger_cars,5,16,16,4,10,1,1,9,0,6,62.5,6.25,56.25,152.30494406940272,199.87630076942094
aligned,0.5,150-200,forward_vehicles,1,46,46,4,41,45,41,0,4,1,89.13043478260869,97.82608695652173,-8.695652173913048,151.8283587278215,199.9727196236663
aligned,0.5,150-200,forward_vehicles,3,46,46,4,41,35,32,9,3,2,89.13043478260869,76.08695652173914,13.043478260869556,151.8283587278215,199.9727196236663
aligned,0.5,150-200,forward_vehicles,5,46,46,4,39,26,23,16,3,4,84.78260869565217,56.52173913043478,28.260869565217394,151.8283587278215,199.9727196236663
aligned,0.5,150-200,all,1,130,130,5,121,81,76,45,5,4,93.07692307692308,62.30769230769231,30.76923076923077,150.12315334501665,199.9727196236663
aligned,0.5,150-200,all,3,130,130,5,115,40,36,79,4,11,88.46153846153845,30.76923076923077,57.692307692307686,150.12315334501665,199.9727196236663
aligned,0.5,150-200,all,5,130,130,5,110,26,22,88,4,16,84.61538461538461,20.0,64.61538461538461,150.12315334501665,199.9727196236663
aligned,0.5,200-250,vehicles,1,51,51,4,40,37,30,10,7,4,78.43137254901961,72.54901960784314,5.882352941176472,201.06925163807026,249.7046674149109
aligned,0.5,200-250,vehicles,3,51,51,4,37,19,16,21,3,11,72.54901960784314,37.254901960784316,35.29411764705882,201.06925163807026,249.7046674149109
aligned,0.5,200-250,vehicles,5,51,51,4,37,9,8,29,1,13,72.54901960784314,17.647058823529413,54.90196078431372,201.06925163807026,249.7046674149109
aligned,0.5,200-250,passenger_cars,1,10,10,3,6,5,2,4,3,1,60.0,50.0,9.999999999999998,214.64145831489262,246.81883024879065
aligned,0.5,200-250,passenger_cars,3,10,10,3,5,2,2,3,0,5,50.0,20.0,30.0,214.64145831489262,246.81883024879065
aligned,0.5,200-250,passenger_cars,5,10,10,3,5,0,0,5,0,5,50.0,0.0,50.0,214.64145831489262,246.81883024879065
aligned,0.5,200-250,forward_vehicles,1,38,38,4,29,33,26,3,7,2,76.31578947368422,86.8421052631579,-10.526315789473683,201.06925163807026,249.7046674149109
aligned,0.5,200-250,forward_vehicles,3,38,38,4,27,18,15,12,3,8,71.05263157894737,47.368421052631575,23.68421052631579,201.06925163807026,249.7046674149109
aligned,0.5,200-250,forward_vehicles,5,38,38,4,27,10,9,18,1,10,71.05263157894737,26.31578947368421,44.73684210526316,201.06925163807026,249.7046674149109
aligned,0.5,200-250,all,1,112,112,5,97,53,46,51,7,8,86.60714285714286,47.32142857142857,39.28571428571429,200.0625118208934,249.7046674149109
aligned,0.5,200-250,all,3,112,112,5,93,19,16,77,3,16,83.03571428571429,16.964285714285715,66.07142857142858,200.0625118208934,249.7046674149109
aligned,0.5,200-250,all,5,112,112,5,91,9,8,83,1,20,81.25,8.035714285714286,73.21428571428571,200.0625118208934,249.7046674149109
aligned,0.5,250-300,vehicles,1,44,44,4,36,22,18,18,4,4,81.81818181818183,50.0,31.818181818181824,251.00468974964278,296.62011809559124
aligned,0.5,250-300,vehicles,3,44,44,4,36,9,8,28,1,7,81.81818181818183,20.454545454545457,61.36363636363637,251.00468974964278,296.62011809559124
aligned,0.5,250-300,vehicles,5,44,44,4,34,2,2,32,0,10,77.27272727272727,4.545454545454546,72.72727272727273,251.00468974964278,296.62011809559124
aligned,0.5,250-300,passenger_cars,1,8,8,3,6,4,4,2,0,2,75.0,50.0,25.0,251.00468974964278,293.9600729212375
aligned,0.5,250-300,passenger_cars,3,8,8,3,6,1,1,5,0,2,75.0,12.5,62.5,251.00468974964278,293.9600729212375
aligned,0.5,250-300,passenger_cars,5,8,8,3,6,0,0,6,0,2,75.0,0.0,75.0,251.00468974964278,293.9600729212375
aligned,0.5,250-300,forward_vehicles,1,33,33,4,26,23,18,8,5,2,78.78787878787878,69.6969696969697,9.090909090909083,251.00468974964278,299.80861071369907
aligned,0.5,250-300,forward_vehicles,3,33,33,4,26,11,9,17,2,5,78.78787878787878,33.33333333333333,45.45454545454545,251.00468974964278,299.80861071369907
aligned,0.5,250-300,forward_vehicles,5,33,33,4,26,2,2,24,0,7,78.78787878787878,6.0606060606060606,72.72727272727273,251.00468974964278,299.80861071369907
aligned,0.5,250-300,all,1,93,93,5,80,26,22,58,4,9,86.02150537634408,27.956989247311824,58.06451612903226,250.22779380742782,299.3158594442666
aligned,0.5,250-300,all,3,93,93,5,80,9,8,72,1,12,86.02150537634408,9.67741935483871,76.34408602150538,250.22779380742782,299.3158594442666
aligned,0.5,250-300,all,5,93,93,5,78,2,2,76,0,15,83.87096774193549,2.1505376344086025,81.72043010752688,250.22779380742782,299.3158594442666
aligned,0.5,300-400,vehicles,1,33,33,4,26,4,3,23,1,6,78.78787878787878,12.121212121212121,66.66666666666666,301.1243306220302,397.6820703976072
aligned,0.5,300-400,vehicles,3,33,33,4,25,2,1,24,1,7,75.75757575757575,6.0606060606060606,69.6969696969697,301.1243306220302,397.6820703976072
aligned,0.5,300-400,vehicles,5,33,33,4,23,2,1,22,1,9,69.6969696969697,6.0606060606060606,63.63636363636365,301.1243306220302,397.6820703976072
aligned,0.5,300-400,passenger_cars,1,5,5,3,4,0,0,4,0,1,80.0,0.0,80.0,301.1243306220302,348.83265659385177
aligned,0.5,300-400,passenger_cars,3,5,5,3,4,0,0,4,0,1,80.0,0.0,80.0,301.1243306220302,348.83265659385177
aligned,0.5,300-400,passenger_cars,5,5,5,3,3,0,0,3,0,2,60.0,0.0,60.0,301.1243306220302,348.83265659385177
aligned,0.5,300-400,forward_vehicles,1,27,27,4,21,3,2,19,1,5,77.77777777777779,11.11111111111111,66.66666666666667,301.1243306220302,397.6820703976072
aligned,0.5,300-400,forward_vehicles,3,27,27,4,20,2,1,19,1,6,74.07407407407408,7.4074074074074066,66.66666666666666,301.1243306220302,397.6820703976072
aligned,0.5,300-400,forward_vehicles,5,27,27,4,18,2,1,17,1,8,66.66666666666666,7.4074074074074066,59.25925925925925,301.1243306220302,397.6820703976072
aligned,0.5,300-400,all,1,75,75,5,61,6,5,56,1,13,81.33333333333333,8.0,73.33333333333334,301.1243306220302,397.6820703976072
aligned,0.5,300-400,all,3,75,75,5,58,2,1,57,1,16,77.33333333333333,2.666666666666667,74.66666666666667,301.1243306220302,397.6820703976072
aligned,0.5,300-400,all,5,75,75,5,54,2,1,53,1,20,72.0,2.666666666666667,69.33333333333334,301.1243306220302,397.6820703976072
aligned,0.5,200-400,vehicles,1,55,55,4,42,21,17,25,4,9,76.36363636363637,38.18181818181819,38.18181818181819,201.06925163807026,397.6820703976072
aligned,0.5,200-400,vehicles,3,55,55,4,40,11,10,30,1,14,72.72727272727273,20.0,52.727272727272734,201.06925163807026,397.6820703976072
aligned,0.5,200-400,vehicles,5,55,55,4,38,5,4,34,1,16,69.0909090909091,9.090909090909092,60.0,201.06925163807026,397.6820703976072
aligned,0.5,200-400,passenger_cars,1,11,11,4,8,2,1,7,1,2,72.72727272727273,18.181818181818183,54.54545454545454,214.64145831489262,348.83265659385177
aligned,0.5,200-400,passenger_cars,3,11,11,4,7,1,1,6,0,4,63.63636363636363,9.090909090909092,54.54545454545454,214.64145831489262,348.83265659385177
aligned,0.5,200-400,passenger_cars,5,11,11,4,6,0,0,6,0,5,54.54545454545454,0.0,54.54545454545454,214.64145831489262,348.83265659385177
aligned,0.5,200-400,forward_vehicles,1,42,42,4,33,12,9,24,3,6,78.57142857142857,28.57142857142857,50.0,201.06925163807026,397.6820703976072
aligned,0.5,200-400,forward_vehicles,3,42,42,4,32,8,7,25,1,9,76.19047619047619,19.047619047619047,57.14285714285714,201.06925163807026,397.6820703976072
aligned,0.5,200-400,forward_vehicles,5,42,42,4,30,4,3,27,1,11,71.42857142857143,9.523809523809524,61.904761904761905,201.06925163807026,397.6820703976072
aligned,0.5,200-400,all,1,127,127,5,107,32,28,79,4,16,84.25196850393701,25.196850393700785,59.055118110236215,200.0625118208934,397.6820703976072
aligned,0.5,200-400,all,3,127,127,5,103,11,10,93,1,23,81.10236220472441,8.661417322834646,72.44094488188976,200.0625118208934,397.6820703976072
aligned,0.5,200-400,all,5,127,127,5,99,5,4,95,1,27,77.95275590551181,3.937007874015748,74.01574803149606,200.0625118208934,397.6820703976072
