frame,scenario,band_m,points,frame_points
2022-08-30_siegertsbrunn_feldwege__0551_1661860697315889089,2022-08-30_siegertsbrunn_feldwege,>=400,0,161290
2022-08-30_siegertsbrunn_feldwege__0552_1661860700676944160,2022-08-30_siegertsbrunn_feldwege,0-50,141447,160673
2022-08-30_siegertsbrunn_feldwege__0552_1661860700676944160,2022-08-30_siegertsbrunn_feldwege,50-100,14540,160673
2022-08-30_siegertsbrunn_feldwege__0552_1661860700676944160,2022-08-30_siegertsbrunn_feldwege,100-150,3586,160673
2022-08-30_siegertsbrunn_feldwege__0552_1661860700676944160,2022-08-30_siegertsbrunn_feldwege,150-400,1100,160673
2022-08-30_siegertsbrunn_feldwege__0552_1661860700676944160,2022-08-30_siegertsbrunn_feldwege,>=400,0,160673
2022-08-30_siegertsbrunn_feldwege__0553_1661860705297669580,2022-08-30_siegertsbrunn_feldwege,0-50,158502,175771
2022-08-30_siegertsbrunn_feldwege__0553_1661860705297669580,2022-08-30_siegertsbrunn_feldwege,50-100,13717,175771
2022-08-30_siegertsbrunn_feldwege__0553_1661860705297669580,2022-08-30_siegertsbrunn_feldwege,100-150,2376,175771
2022-08-30_siegertsbrunn_feldwege__0553_1661860705297669580,2022-08-30_siegertsbrunn_feldwege,150-400,1176,175771
2022-08-30_siegertsbrunn_feldwege__0553_1661860705297669580,2022-08-30_siegertsbrunn_feldwege,>=400,0,175771
2022-08-30_siegertsbrunn_feldwege__0554_1661860711389335973,2022-08-30_siegertsbrunn_feldwege,0-50,102438,125097
2022-08-30_siegertsbrunn_feldwege__0554_1661860711389335973,2022-08-30_siegertsbrunn_feldwege,50-100,16017,125097
2022-08-30_siegertsbrunn_feldwege__0554_1661860711389335973,2022-08-30_siegertsbrunn_feldwege,100-150,4492,125097
2022-08-30_siegertsbrunn_feldwege__0554_1661860711389335973,2022-08-30_siegertsbrunn_feldwege,150-400,2150,125097
2022-08-30_siegertsbrunn_feldwege__0554_1661860711389335973,2022-08-30_siegertsbrunn_feldwege,>=400,0,125097
2022-08-30_siegertsbrunn_feldwege__0555_1661860716850178668,2022-08-30_siegertsbrunn_feldwege,0-50,115221,138290
2022-08-30_siegertsbrunn_feldwege__0555_1661860716850178668,2022-08-30_siegertsbrunn_feldwege,50-100,16540,138290
2022-08-30_siegertsbrunn_feldwege__0555_1661860716850178668,2022-08-30_siegertsbrunn_feldwege,100-150,4857,138290
2022-08-30_siegertsbrunn_feldwege__0555_1661860716850178668,2022-08-30_siegertsbrunn_feldwege,150-400,1672,138290
2022-08-30_siegertsbrunn_feldwege__0555_1661860716850178668,2022-08-30_siegertsbrunn_feldwege,>=400,0,138290
2022-08-30_siegertsbrunn_feldwege__0556_1661860725252489767,2022-08-30_siegertsbrunn_feldwege,0-50,117989,139689
2022-08-30_siegertsbrunn_feldwege__0556_1661860725252489767,2022-08-30_siegertsbrunn_feldwege,50-100,15339,139689
2022-08-30_siegertsbrunn_feldwege__0556_1661860725252489767,2022-08-30_siegertsbrunn_feldwege,100-150,5244,139689
2022-08-30_siegertsbrunn_feldwege__0556_1661860725252489767,2022-08-30_siegertsbrunn_feldwege,150-400,1117,139689
2022-08-30_siegertsbrunn_feldwege__0556_1661860725252489767,2022-08-30_siegertsbrunn_feldwege,>=400,0,139689
2022-08-30_siegertsbrunn_feldwege__0557_1661860736174467752,2022-08-30_siegertsbrunn_feldwege,0-50,130582,149169
2022-08-30_siegertsbrunn_feldwege__0557_1661860736174467752,2022-08-30_siegertsbrunn_feldwege,50-100,13192,149169
2022-08-30_siegertsbrunn_feldwege__0557_1661860736174467752,2022-08-30_siegertsbrunn_feldwege,100-150,4269,149169
2022-08-30_siegertsbrunn_feldwege__0557_1661860736174467752,2022-08-30_siegertsbrunn_feldwege,150-400,1126,149169
2022-08-30_siegertsbrunn_feldwege__0557_1661860736174467752,2022-08-30_siegertsbrunn_feldwege,>=400,0,149169
2022-08-30_siegertsbrunn_feldwege__0558_1661860740270766983,2022-08-30_siegertsbrunn_feldwege,0-50,133308,147685
2022-08-30_siegertsbrunn_feldwege__0558_1661860740270766983,2022-08-30_siegertsbrunn_feldwege,50-100,9705,147685
2022-08-30_siegertsbrunn_feldwege__0558_1661860740270766983,2022-08-30_siegertsbrunn_feldwege,100-150,2733,147685
2022-08-30_siegertsbrunn_feldwege__0558_1661860740270766983,2022-08-30_siegertsbrunn_feldwege,150-400,1939,147685
2022-08-30_siegertsbrunn_feldwege__0558_1661860740270766983,2022-08-30_siegertsbrunn_feldwege,>=400,0,147685
2022-08-30_siegertsbrunn_feldwege__0559_1661860743211268177,2022-08-30_siegertsbrunn_feldwege,0-50,138018,150265
2022-08-30_siegertsbrunn_feldwege__0559_1661860743211268177,2022-08-30_siegertsbrunn_feldwege,50-100,8209,150265
2022-08-30_siegertsbrunn_feldwege__0559_1661860743211268177,2022-08-30_siegertsbrunn_feldwege,100-150,2351,150265
2022-08-30_siegertsbrunn_feldwege__0559_1661860743211268177,2022-08-30_siegertsbrunn_feldwege,150-400,1687,150265
2022-08-30_siegertsbrunn_feldwege__0559_1661860743211268177,2022-08-30_siegertsbrunn_feldwege,>=400,0,150265
2022-08-30_siegertsbrunn_feldwege__0560_1661860746676777290,2022-08-30_siegertsbrunn_feldwege,0-50,117984,132109
2022-08-30_siegertsbrunn_feldwege__0560_1661860746676777290,2022-08-30_siegertsbrunn_feldwege,50-100,10060,132109
2022-08-30_siegertsbrunn_feldwege__0560_1661860746676777290,2022-08-30_siegertsbrunn_feldwege,100-150,2473,132109
2022-08-30_siegertsbrunn_feldwege__0560_1661860746676777290,2022-08-30_siegertsbrunn_feldwege,150-400,1592,132109
2022-08-30_siegertsbrunn_feldwege__0560_1661860746676777290,2022-08-30_siegertsbrunn_feldwege,>=400,0,132109
2022-08-30_siegertsbrunn_feldwege__0561_1661860749618300260,2022-08-30_siegertsbrunn_feldwege,0-50,122512,135994
2022-08-30_siegertsbrunn_feldwege__0561_1661860749618300260,2022-08-30_siegertsbrunn_feldwege,50-100,9541,135994
2022-08-30_siegertsbrunn_feldwege__0561_1661860749618300260,2022-08-30_siegertsbrunn_feldwege,100-150,2447,135994
2022-08-30_siegertsbrunn_feldwege__0561_1661860749618300260,2022-08-30_siegertsbrunn_feldwege,150-400,1494,135994
2022-08-30_siegertsbrunn_feldwege__0561_1661860749618300260,2022-08-30_siegertsbrunn_feldwege,>=400,0,135994
2022-08-30_siegertsbrunn_feldwege__0562_1661860753399118949,2022-08-30_siegertsbrunn_feldwege,0-50,138774,151828
2022-08-30_siegertsbrunn_feldwege__0562_1661860753399118949,2022-08-30_siegertsbrunn_feldwege,50-100,8980,151828
2022-08-30_siegertsbrunn_feldwege__0562_1661860753399118949,2022-08-30_siegertsbrunn_feldwege,100-150,2590,151828
2022-08-30_siegertsbrunn_feldwege__0562_1661860753399118949,2022-08-30_siegertsbrunn_feldwege,150-400,1484,151828
2022-08-30_siegertsbrunn_feldwege__0562_1661860753399118949,2022-08-30_siegertsbrunn_feldwege,>=400,0,151828
2022-08-30_siegertsbrunn_feldwege__0563_1661860761905669145,2022-08-30_siegertsbrunn_feldwege,0-50,131260,149807
2022-08-30_siegertsbrunn_feldwege__0563_1661860761905669145,2022-08-30_siegertsbrunn_feldwege,50-100,13753,149807
2022-08-30_siegertsbrunn_feldwege__0563_1661860761905669145,2022-08-30_siegertsbrunn_feldwege,100-150,3297,149807
2022-08-30_siegertsbrunn_feldwege__0563_1661860761905669145,2022-08-30_siegertsbrunn_feldwege,150-400,1497,149807
2022-08-30_siegertsbrunn_feldwege__0563_1661860761905669145,2022-08-30_siegertsbrunn_feldwege,>=400,0,149807
2022-08-30_siegertsbrunn_feldwege__0564_1661860767261749104,2022-08-30_siegertsbrunn_feldwege,0-50,128964,146020
2022-08-30_siegertsbrunn_feldwege__0564_1661860767261749104,2022-08-30_siegertsbrunn_feldwege,50-100,11031,146020
2022-08-30_siegertsbrunn_feldwege__0564_1661860767261749104,2022-08-30_siegertsbrunn_feldwege,100-150,4504,146020
2022-08-30_siegertsbrunn_feldwege__0564_1661860767261749104,2022-08-30_siegertsbrunn_feldwege,150-400,1521,146020
2022-08-30_siegertsbrunn_feldwege__0564_1661860767261749104,2022-08-30_siegertsbrunn_feldwege,>=400,0,146020
2022-08-30_siegertsbrunn_feldwege__0565_1661860775558704846,2022-08-30_siegertsbrunn_feldwege,0-50,134719,150578
2022-08-30_siegertsbrunn_feldwege__0565_1661860775558704846,2022-08-30_siegertsbrunn_feldwege,50-100,9302,150578
2022-08-30_siegertsbrunn_feldwege__0565_1661860775558704846,2022-08-30_siegertsbrunn_feldwege,100-150,3816,150578
2022-08-30_siegertsbrunn_feldwege__0565_1661860775558704846,2022-08-30_siegertsbrunn_feldwege,150-400,2741,150578
2022-08-30_siegertsbrunn_feldwege__0565_1661860775558704846,2022-08-30_siegertsbrunn_feldwege,>=400,0,150578
2022-08-30_siegertsbrunn_feldwege__0566_1661860781230155836,2022-08-30_siegertsbrunn_feldwege,0-50,129177,145373
2022-08-30_siegertsbrunn_feldwege__0566_1661860781230155836,2022-08-30_siegertsbrunn_feldwege,50-100,9836,145373
2022-08-30_siegertsbrunn_feldwege__0566_1661860781230155836,2022-08-30_siegertsbrunn_feldwege,100-150,3193,145373
2022-08-30_siegertsbrunn_feldwege__0566_1661860781230155836,2022-08-30_siegertsbrunn_feldwege,150-400,3167,145373
2022-08-30_siegertsbrunn_feldwege__0566_1661860781230155836,2022-08-30_siegertsbrunn_feldwege,>=400,0,145373
2022-08-30_siegertsbrunn_feldwege__0567_1661860787426197687,2022-08-30_siegertsbrunn_feldwege,0-50,123622,140163
2022-08-30_siegertsbrunn_feldwege__0567_1661860787426197687,2022-08-30_siegertsbrunn_feldwege,50-100,10283,140163
2022-08-30_siegertsbrunn_feldwege__0567_1661860787426197687,2022-08-30_siegertsbrunn_feldwege,100-150,4741,140163
2022-08-30_siegertsbrunn_feldwege__0567_1661860787426197687,2022-08-30_siegertsbrunn_feldwege,150-400,1517,140163
2022-08-30_siegertsbrunn_feldwege__0567_1661860787426197687,2022-08-30_siegertsbrunn_feldwege,>=400,0,140163
2022-08-30_siegertsbrunn_feldwege__0568_1661860791207521053,2022-08-30_siegertsbrunn_feldwege,0-50,109939,131396
2022-08-30_siegertsbrunn_feldwege__0568_1661860791207521053,2022-08-30_siegertsbrunn_feldwege,50-100,12556,131396
2022-08-30_siegertsbrunn_feldwege__0568_1661860791207521053,2022-08-30_siegertsbrunn_feldwege,100-150,6480,131396
2022-08-30_siegertsbrunn_feldwege__0568_1661860791207521053,2022-08-30_siegertsbrunn_feldwege,150-400,2421,131396
2022-08-30_siegertsbrunn_feldwege__0568_1661860791207521053,2022-08-30_siegertsbrunn_feldwege,>=400,0,131396
2022-08-30_siegertsbrunn_feldwege__0569_1661860800974249982,2022-08-30_siegertsbrunn_feldwege,0-50,88144,118004
2022-08-30_siegertsbrunn_feldwege__0569_1661860800974249982,2022-08-30_siegertsbrunn_feldwege,50-100,21545,118004
2022-08-30_siegertsbrunn_feldwege__0569_1661860800974249982,2022-08-30_siegertsbrunn_feldwege,100-150,5899,118004
2022-08-30_siegertsbrunn_feldwege__0569_1661860800974249982,2022-08-30_siegertsbrunn_feldwege,150-400,2416,118004
2022-08-30_siegertsbrunn_feldwege__0569_1661860800974249982,2022-08-30_siegertsbrunn_feldwege,>=400,0,118004
2022-08-30_siegertsbrunn_feldwege__0570_1661860810846444249,2022-08-30_siegertsbrunn_feldwege,0-50,80538,118838
2022-08-30_siegertsbrunn_feldwege__0570_1661860810846444249,2022-08-30_siegertsbrunn_feldwege,50-100,30549,118838
2022-08-30_siegertsbrunn_feldwege__0570_1661860810846444249,2022-08-30_siegertsbrunn_feldwege,100-150,5625,118838
2022-08-30_siegertsbrunn_feldwege__0570_1661860810846444249,2022-08-30_siegertsbrunn_feldwege,150-400,2126,118838
2022-08-30_siegertsbrunn_feldwege__0570_1661860810846444249,2022-08-30_siegertsbrunn_feldwege,>=400,0,118838
2022-08-30_siegertsbrunn_feldwege__0571_1661860820718436425,2022-08-30_siegertsbrunn_feldwege,0-50,98124,121326
2022-08-30_siegertsbrunn_feldwege__0571_1661860820718436425,2022-08-30_siegertsbrunn_feldwege,50-100,15441,121326
2022-08-30_siegertsbrunn_feldwege__0571_1661860820718436425,2022-08-30_siegertsbrunn_feldwege,100-150,6652,121326
2022-08-30_siegertsbrunn_feldwege__0571_1661860820718436425,2022-08-30_siegertsbrunn_feldwege,150-400,1109,121326
2022-08-30_siegertsbrunn_feldwege__0571_1661860820718436425,2022-08-30_siegertsbrunn_feldwege,>=400,0,121326
2022-08-30_siegertsbrunn_feldwege__0572_1661860824604354061,2022-08-30_siegertsbrunn_feldwege,0-50,104504,125120
2022-08-30_siegertsbrunn_feldwege__0572_1661860824604354061,2022-08-30_siegertsbrunn_feldwege,50-100,12675,125120
2022-08-30_siegertsbrunn_feldwege__0572_1661860824604354061,2022-08-30_siegertsbrunn_feldwege,100-150,6762,125120
2022-08-30_siegertsbrunn_feldwege__0572_1661860824604354061,2022-08-30_siegertsbrunn_feldwege,150-400,1179,125120
2022-08-30_siegertsbrunn_feldwege__0572_1661860824604354061,2022-08-30_siegertsbrunn_feldwege,>=400,0,125120
2022-08-30_siegertsbrunn_feldwege__0573_1661860827964672506,2022-08-30_siegertsbrunn_feldwege,0-50,110817,129424
2022-08-30_siegertsbrunn_feldwege__0573_1661860827964672506,2022-08-30_siegertsbrunn_feldwege,50-100,11601,129424
2022-08-30_siegertsbrunn_feldwege__0573_1661860827964672506,2022-08-30_siegertsbrunn_feldwege,100-150,5781,129424
2022-08-30_siegertsbrunn_feldwege__0573_1661860827964672506,2022-08-30_siegertsbrunn_feldwege,150-400,1225,129424
2022-08-30_siegertsbrunn_feldwege__0573_1661860827964672506,2022-08-30_siegertsbrunn_feldwege,>=400,0,129424
2022-08-30_siegertsbrunn_feldwege__0574_1661860829541005929,2022-08-30_siegertsbrunn_feldwege,0-50,119357,137229
2022-08-30_siegertsbrunn_feldwege__0574_1661860829541005929,2022-08-30_siegertsbrunn_feldwege,50-100,11023,137229
2022-08-30_siegertsbrunn_feldwege__0574_1661860829541005929,2022-08-30_siegertsbrunn_feldwege,100-150,5494,137229
2022-08-30_siegertsbrunn_feldwege__0574_1661860829541005929,2022-08-30_siegertsbrunn_feldwege,150-400,1355,137229
2022-08-30_siegertsbrunn_feldwege__0574_1661860829541005929,2022-08-30_siegertsbrunn_feldwege,>=400,0,137229
2022-08-30_siegertsbrunn_feldwege__0575_1661860832481233187,2022-08-30_siegertsbrunn_feldwege,0-50,125704,144019
2022-08-30_siegertsbrunn_feldwege__0575_1661860832481233187,2022-08-30_siegertsbrunn_feldwege,50-100,11265,144019
2022-08-30_siegertsbrunn_feldwege__0575_1661860832481233187,2022-08-30_siegertsbrunn_feldwege,100-150,5608,144019
2022-08-30_siegertsbrunn_feldwege__0575_1661860832481233187,2022-08-30_siegertsbrunn_feldwege,150-400,1442,144019
2022-08-30_siegertsbrunn_feldwege__0575_1661860832481233187,2022-08-30_siegertsbrunn_feldwege,>=400,0,144019
2022-08-30_siegertsbrunn_feldwege__0576_1661860836261742266,2022-08-30_siegertsbrunn_feldwege,0-50,124225,142089
2022-08-30_siegertsbrunn_feldwege__0576_1661860836261742266,2022-08-30_siegertsbrunn_feldwege,50-100,10821,142089
2022-08-30_siegertsbrunn_feldwege__0576_1661860836261742266,2022-08-30_siegertsbrunn_feldwege,100-150,5519,142089
2022-08-30_siegertsbrunn_feldwege__0576_1661860836261742266,2022-08-30_siegertsbrunn_feldwege,150-400,1524,142089
2022-08-30_siegertsbrunn_feldwege__0576_1661860836261742266,2022-08-30_siegertsbrunn_feldwege,>=400,0,142089
2022-08-30_siegertsbrunn_feldwege__0577_1661860839832783779,2022-08-30_siegertsbrunn_feldwege,0-50,125471,143345
2022-08-30_siegertsbrunn_feldwege__0577_1661860839832783779,2022-08-30_siegertsbrunn_feldwege,50-100,10769,143345
2022-08-30_siegertsbrunn_feldwege__0577_1661860839832783779,2022-08-30_siegertsbrunn_feldwege,100-150,5643,143345
2022-08-30_siegertsbrunn_feldwege__0577_1661860839832783779,2022-08-30_siegertsbrunn_feldwege,150-400,1462,143345
2022-08-30_siegertsbrunn_feldwege__0577_1661860839832783779,2022-08-30_siegertsbrunn_feldwege,>=400,0,143345
2022-08-30_siegertsbrunn_feldwege__0578_1661860845398691982,2022-08-30_siegertsbrunn_feldwege,0-50,89426,118860
2022-08-30_siegertsbrunn_feldwege__0578_1661860845398691982,2022-08-30_siegertsbrunn_feldwege,50-100,19895,118860
2022-08-30_siegertsbrunn_feldwege__0578_1661860845398691982,2022-08-30_siegertsbrunn_feldwege,100-150,7562,118860
2022-08-30_siegertsbrunn_feldwege__0578_1661860845398691982,2022-08-30_siegertsbrunn_feldwege,150-400,1977,118860
2022-08-30_siegertsbrunn_feldwege__0578_1661860845398691982,2022-08-30_siegertsbrunn_feldwege,>=400,0,118860
2022-08-30_siegertsbrunn_feldwege__0579_1661860853906103210,2022-08-30_siegertsbrunn_feldwege,0-50,77309,114258
2022-08-30_siegertsbrunn_feldwege__0579_1661860853906103210,2022-08-30_siegertsbrunn_feldwege,50-100,27564,114258
2022-08-30_siegertsbrunn_feldwege__0579_1661860853906103210,2022-08-30_siegertsbrunn_feldwege,100-150,7146,114258
2022-08-30_siegertsbrunn_feldwege__0579_1661860853906103210,2022-08-30_siegertsbrunn_feldwege,150-400,2239,114258
2022-08-30_siegertsbrunn_feldwege__0579_1661860853906103210,2022-08-30_siegertsbrunn_feldwege,>=400,0,114258
2022-08-30_siegertsbrunn_feldwege__0580_1661860858737142959,2022-08-30_siegertsbrunn_feldwege,0-50,79549,114771
2022-08-30_siegertsbrunn_feldwege__0580_1661860858737142959,2022-08-30_siegertsbrunn_feldwege,50-100,26582,114771
2022-08-30_siegertsbrunn_feldwege__0580_1661860858737142959,2022-08-30_siegertsbrunn_feldwege,100-150,6309,114771
2022-08-30_siegertsbrunn_feldwege__0580_1661860858737142959,2022-08-30_siegertsbrunn_feldwege,150-400,2331,114771
2022-08-30_siegertsbrunn_feldwege__0580_1661860858737142959,2022-08-30_siegertsbrunn_feldwege,>=400,0,114771
2022-08-30_siegertsbrunn_feldwege__0581_1661860866088763397,2022-08-30_siegertsbrunn_feldwege,0-50,90397,116126
2022-08-30_siegertsbrunn_feldwege__0581_1661860866088763397,2022-08-30_siegertsbrunn_feldwege,50-100,17166,116126
2022-08-30_siegertsbrunn_feldwege__0581_1661860866088763397,2022-08-30_siegertsbrunn_feldwege,100-150,6313,116126
2022-08-30_siegertsbrunn_feldwege__0581_1661860866088763397,2022-08-30_siegertsbrunn_feldwege,150-400,2250,116126
2022-08-30_siegertsbrunn_feldwege__0581_1661860866088763397,2022-08-30_siegertsbrunn_feldwege,>=400,0,116126
2022-08-30_siegertsbrunn_feldwege__0582_1661860875330564453,2022-08-30_siegertsbrunn_feldwege,0-50,109957,126296
2022-08-30_siegertsbrunn_feldwege__0582_1661860875330564453,2022-08-30_siegertsbrunn_feldwege,50-100,10777,126296
2022-08-30_siegertsbrunn_feldwege__0582_1661860875330564453,2022-08-30_siegertsbrunn_feldwege,100-150,4101,126296
2022-08-30_siegertsbrunn_feldwege__0582_1661860875330564453,2022-08-30_siegertsbrunn_feldwege,150-400,1461,126296
2022-08-30_siegertsbrunn_feldwege__0582_1661860875330564453,2022-08-30_siegertsbrunn_feldwege,>=400,0,126296
2022-08-30_siegertsbrunn_feldwege__0583_1661860888668286165,2022-08-30_siegertsbrunn_feldwege,0-50,123115,139068
2022-08-30_siegertsbrunn_feldwege__0583_1661860888668286165,2022-08-30_siegertsbrunn_feldwege,50-100,11303,139068
2022-08-30_siegertsbrunn_feldwege__0583_1661860888668286165,2022-08-30_siegertsbrunn_feldwege,100-150,3188,139068
2022-08-30_siegertsbrunn_feldwege__0583_1661860888668286165,2022-08-30_siegertsbrunn_feldwege,150-400,1462,139068
2022-08-30_siegertsbrunn_feldwege__0583_1661860888668286165,2022-08-30_siegertsbrunn_feldwege,>=400,0,139068
2022-08-30_siegertsbrunn_feldwege__0584_1661860893184463543,2022-08-30_siegertsbrunn_feldwege,0-50,96062,121010
2022-08-30_siegertsbrunn_feldwege__0584_1661860893184463543,2022-08-30_siegertsbrunn_feldwege,50-100,18992,121010
2022-08-30_siegertsbrunn_feldwege__0584_1661860893184463543,2022-08-30_siegertsbrunn_feldwege,100-150,4411,121010
2022-08-30_siegertsbrunn_feldwege__0584_1661860893184463543,2022-08-30_siegertsbrunn_feldwege,150-400,1545,121010
2022-08-30_siegertsbrunn_feldwege__0584_1661860893184463543,2022-08-30_siegertsbrunn_feldwege,>=400,0,121010
2022-08-30_siegertsbrunn_feldwege__0585_1661860905157305325,2022-08-30_siegertsbrunn_feldwege,0-50,91064,116215
2022-08-30_siegertsbrunn_feldwege__0585_1661860905157305325,2022-08-30_siegertsbrunn_feldwege,50-100,19049,116215
2022-08-30_siegertsbrunn_feldwege__0585_1661860905157305325,2022-08-30_siegertsbrunn_feldwege,100-150,4678,116215
2022-08-30_siegertsbrunn_feldwege__0585_1661860905157305325,2022-08-30_siegertsbrunn_feldwege,150-400,1424,116215
2022-08-30_siegertsbrunn_feldwege__0585_1661860905157305325,2022-08-30_siegertsbrunn_feldwege,>=400,0,116215
2022-08-30_siegertsbrunn_feldwege__0586_1661860914294461003,2022-08-30_siegertsbrunn_feldwege,0-50,128013,142443
2022-08-30_siegertsbrunn_feldwege__0586_1661860914294461003,2022-08-30_siegertsbrunn_feldwege,50-100,10200,142443
2022-08-30_siegertsbrunn_feldwege__0586_1661860914294461003,2022-08-30_siegertsbrunn_feldwege,100-150,3017,142443
2022-08-30_siegertsbrunn_feldwege__0586_1661860914294461003,2022-08-30_siegertsbrunn_feldwege,150-400,1213,142443
2022-08-30_siegertsbrunn_feldwege__0586_1661860914294461003,2022-08-30_siegertsbrunn_feldwege,>=400,0,142443
2022-08-30_siegertsbrunn_feldwege__0587_1661860923851510619,2022-08-30_siegertsbrunn_feldwege,0-50,128231,143116
2022-08-30_siegertsbrunn_feldwege__0587_1661860923851510619,2022-08-30_siegertsbrunn_feldwege,50-100,10570,143116
2022-08-30_siegertsbrunn_feldwege__0587_1661860923851510619,2022-08-30_siegertsbrunn_feldwege,100-150,3004,143116
2022-08-30_siegertsbrunn_feldwege__0587_1661860923851510619,2022-08-30_siegertsbrunn_feldwege,150-400,1311,143116
2022-08-30_siegertsbrunn_feldwege__0587_1661860923851510619,2022-08-30_siegertsbrunn_feldwege,>=400,0,143116
2022-08-30_siegertsbrunn_feldwege__0588_1661860935193829345,2022-08-30_siegertsbrunn_feldwege,0-50,85891,114128
2022-08-30_siegertsbrunn_feldwege__0588_1661860935193829345,2022-08-30_siegertsbrunn_feldwege,50-100,19853,114128
2022-08-30_siegertsbrunn_feldwege__0588_1661860935193829345,2022-08-30_siegertsbrunn_feldwege,100-150,4908,114128
2022-08-30_siegertsbrunn_feldwege__0588_1661860935193829345,2022-08-30_siegertsbrunn_feldwege,150-400,3476,114128
2022-08-30_siegertsbrunn_feldwege__0588_1661860935193829345,2022-08-30_siegertsbrunn_feldwege,>=400,0,114128
2022-08-30_siegertsbrunn_feldwege__0589_1661860945486442271,2022-08-30_siegertsbrunn_feldwege,0-50,78416,112853
2022-08-30_siegertsbrunn_feldwege__0589_1661860945486442271,2022-08-30_siegertsbrunn_feldwege,50-100,22909,112853
2022-08-30_siegertsbrunn_feldwege__0589_1661860945486442271,2022-08-30_siegertsbrunn_feldwege,100-150,7280,112853
2022-08-30_siegertsbrunn_feldwege__0589_1661860945486442271,2022-08-30_siegertsbrunn_feldwege,150-400,4248,112853
2022-08-30_siegertsbrunn_feldwege__0589_1661860945486442271,2022-08-30_siegertsbrunn_feldwege,>=400,0,112853
2022-08-30_siegertsbrunn_feldwege__0590_1661860958719314385,2022-08-30_siegertsbrunn_feldwege,0-50,79019,112293
2022-08-30_siegertsbrunn_feldwege__0590_1661860958719314385,2022-08-30_siegertsbrunn_feldwege,50-100,20772,112293
2022-08-30_siegertsbrunn_feldwege__0590_1661860958719314385,2022-08-30_siegertsbrunn_feldwege,100-150,7405,112293
2022-08-30_siegertsbrunn_feldwege__0590_1661860958719314385,2022-08-30_siegertsbrunn_feldwege,150-400,5097,112293
2022-08-30_siegertsbrunn_feldwege__0590_1661860958719314385,2022-08-30_siegertsbrunn_feldwege,>=400,0,112293
2022-08-30_siegertsbrunn_feldwege__0591_1661860967961372908,2022-08-30_siegertsbrunn_feldwege,0-50,82245,116587
2022-08-30_siegertsbrunn_feldwege__0591_1661860967961372908,2022-08-30_siegertsbrunn_feldwege,50-100,20964,116587
2022-08-30_siegertsbrunn_feldwege__0591_1661860967961372908,2022-08-30_siegertsbrunn_feldwege,100-150,8065,116587
2022-08-30_siegertsbrunn_feldwege__0591_1661860967961372908,2022-08-30_siegertsbrunn_feldwege,150-400,5313,116587
2022-08-30_siegertsbrunn_feldwege__0591_1661860967961372908,2022-08-30_siegertsbrunn_feldwege,>=400,0,116587
2022-08-30_siegertsbrunn_feldwege__0592_1661860971111679993,2022-08-30_siegertsbrunn_feldwege,0-50,96732,126583
2022-08-30_siegertsbrunn_feldwege__0592_1661860971111679993,2022-08-30_siegertsbrunn_feldwege,50-100,18886,126583
2022-08-30_siegertsbrunn_feldwege__0592_1661860971111679993,2022-08-30_siegertsbrunn_feldwege,100-150,7680,126583
2022-08-30_siegertsbrunn_feldwege__0592_1661860971111679993,2022-08-30_siegertsbrunn_feldwege,150-400,3285,126583
2022-08-30_siegertsbrunn_feldwege__0592_1661860971111679993,2022-08-30_siegertsbrunn_feldwege,>=400,0,126583
2022-08-30_siegertsbrunn_feldwege__0593_1661860980248907023,2022-08-30_siegertsbrunn_feldwege,0-50,85634,121402
2022-08-30_siegertsbrunn_feldwege__0593_1661860980248907023,2022-08-30_siegertsbrunn_feldwege,50-100,20624,121402
2022-08-30_siegertsbrunn_feldwege__0593_1661860980248907023,2022-08-30_siegertsbrunn_feldwege,100-150,9927,121402
2022-08-30_siegertsbrunn_feldwege__0593_1661860980248907023,2022-08-30_siegertsbrunn_feldwege,150-400,5217,121402
2022-08-30_siegertsbrunn_feldwege__0593_1661860980248907023,2022-08-30_siegertsbrunn_feldwege,>=400,0,121402
2022-08-30_siegertsbrunn_feldwege__0594_1661860985394738543,2022-08-30_siegertsbrunn_feldwege,0-50,86635,122812
2022-08-30_siegertsbrunn_feldwege__0594_1661860985394738543,2022-08-30_siegertsbrunn_feldwege,50-100,22130,122812
2022-08-30_siegertsbrunn_feldwege__0594_1661860985394738543,2022-08-30_siegertsbrunn_feldwege,100-150,9999,122812
2022-08-30_siegertsbrunn_feldwege__0594_1661860985394738543,2022-08-30_siegertsbrunn_feldwege,150-400,4048,122812
2022-08-30_siegertsbrunn_feldwege__0594_1661860985394738543,2022-08-30_siegertsbrunn_feldwege,>=400,0,122812
2022-08-30_siegertsbrunn_feldwege__0595_1661860990540653821,2022-08-30_siegertsbrunn_feldwege,0-50,94190,126203
2022-08-30_siegertsbrunn_feldwege__0595_1661860990540653821,2022-08-30_siegertsbrunn_feldwege,50-100,19065,126203
2022-08-30_siegertsbrunn_feldwege__0595_1661860990540653821,2022-08-30_siegertsbrunn_feldwege,100-150,10114,126203
2022-08-30_siegertsbrunn_feldwege__0595_1661860990540653821,2022-08-30_siegertsbrunn_feldwege,150-400,2834,126203
2022-08-30_siegertsbrunn_feldwege__0595_1661860990540653821,2022-08-30_siegertsbrunn_feldwege,>=400,0,126203
2022-08-30_siegertsbrunn_feldwege__0596_1661860994006182697,2022-08-30_siegertsbrunn_feldwege,0-50,95983,127738
