dataset,margin_m,band_m,category,observations,instances,scenes,lidar_supported,radar_supported,both,lidar_only,radar_only,neither,lidar_percent,radar_percent,difference_pp,min_range_m,max_range_m,lidar_ge_3_percent,lidar_ge_5_percent,lidar_points_p25,lidar_points_p50,lidar_points_p75,lidar_points_p90,lidar_equal_track_percent,radar_ge_3_percent,radar_ge_5_percent,radar_points_p25,radar_points_p50,radar_points_p75,radar_points_p90,radar_equal_track_percent
TruckDrive scene_28_1,0,200-250,RoadObstruction,127,9,1,34,0,0,34,0,93,26.77165354330709,0.0,26.77165354330709,200.00315051034195,249.01143860608167,16.535433070866144,3.937007874015748,0.0,0.0,1.0,4.0,26.41895141895142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,200-250,RoadObstruction-Barrel,273,19,1,54,0,0,54,0,219,19.78021978021978,0.0,19.78021978021978,200.0094819682491,249.88406295481,7.6923076923076925,2.93040293040293,0.0,0.0,0.0,2.0,20.606674027726662,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,200-250,TrafficSign,115,6,1,24,0,0,24,0,91,20.869565217391305,0.0,20.869565217391305,200.00376600891855,249.99656504791636,3.4782608695652173,0.0,0.0,0.0,0.0,1.0,19.00871459694989,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,200-250,Vehicle-Passenger,115,5,1,75,36,27,48,9,31,65.21739130434783,31.30434782608696,33.91304347826087,200.01251389859453,249.9157658332935,53.04347826086957,43.47826086956522,0.0,3.0,8.0,12.600000000000009,48.91445511010728,0.8695652173913043,0.0,0.0,0.0,1.0,2.0,27.39553924336533
TruckDrive scene_28_1,0,200-250,Vehicle-SemiTruck-Cab,77,1,1,19,44,10,9,34,24,24.675324675324674,57.14285714285714,-32.467532467532465,200.15387628289645,217.06820005782032,10.38961038961039,5.194805194805195,0.0,0.0,0.0,2.4000000000000057,24.675324675324674,15.584415584415584,1.2987012987012987,0.0,1.0,2.0,3.0,57.14285714285714
TruckDrive scene_28_1,0,200-250,Vehicle-SemiTruck-Trailer,67,3,1,67,55,55,12,0,0,100.0,82.08955223880598,17.910447761194025,200.20689478211568,246.40545780793374,97.01492537313433,95.52238805970148,30.0,42.0,57.5,70.4,100.0,35.82089552238806,0.0,1.0,2.0,3.0,3.3999999999999986,62.3921568627451
TruckDrive scene_28_1,0,250-300,RoadObstruction,29,5,1,8,0,0,8,0,21,27.586206896551722,0.0,27.586206896551722,250.2288925344351,299.5014125341751,20.689655172413794,0.0,0.0,0.0,1.0,4.0,36.666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,250-300,RoadObstruction-Barrel,218,14,1,23,0,0,23,0,195,10.550458715596331,0.0,10.550458715596331,250.11739360716103,299.87006924638484,4.128440366972478,0.45871559633027525,0.0,0.0,0.0,1.0,13.253066378066377,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,250-300,TrafficSign,86,5,1,11,0,0,11,0,75,12.790697674418606,0.0,12.790697674418606,250.68930178872827,299.6499128197861,1.1627906976744187,1.1627906976744187,0.0,0.0,0.0,1.0,11.749019607843136,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,250-300,Vehicle,10,1,1,8,4,4,4,0,2,80.0,40.0,40.0,265.6654006693676,266.7376496574426,70.0,60.0,2.25,5.5,6.75,9.1,80.0,0.0,0.0,0.0,0.0,1.0,1.0,40.0
TruckDrive scene_28_1,0,250-300,Vehicle-Passenger,246,4,1,176,90,80,96,10,60,71.54471544715447,36.58536585365854,34.959349593495936,250.11750228053708,299.51983694674055,67.88617886178862,60.97560975609756,0.0,6.0,12.0,19.0,50.59382795814713,2.0325203252032518,0.0,0.0,0.0,1.0,1.0,40.676990793086745
TruckDrive scene_28_1,0,250-300,Vehicle-SemiTruck-Trailer,9,1,1,9,1,1,8,0,0,100.0,11.11111111111111,88.88888888888889,252.27707426716097,299.5495255467652,100.0,100.0,7.0,8.0,10.0,20.0,100.0,0.0,0.0,0.0,0.0,0.0,0.20000000000000018,11.11111111111111
TruckDrive scene_28_1,0,300-400,RoadObstruction,5,1,1,1,0,0,1,0,4,20.0,0.0,20.0,302.34796990588984,313.69648018589555,0.0,0.0,0.0,0.0,0.0,1.2000000000000002,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,300-400,RoadObstruction-Barrel,219,12,1,16,0,0,16,0,203,7.30593607305936,0.0,7.30593607305936,300.0392261284474,399.0340624161176,3.1963470319634704,1.82648401826484,0.0,0.0,0.0,0.0,6.342609507571144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,300-400,TrafficSign,14,3,1,1,0,0,1,0,13,7.142857142857142,0.0,7.142857142857142,300.4378987612268,323.81138975349904,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,300-400,Vehicle,10,1,1,10,1,1,9,0,0,100.0,10.0,90.0,324.49513098152073,335.428006153817,70.0,30.0,2.25,4.0,6.25,7.199999999999999,100.0,0.0,0.0,0.0,0.0,0.0,0.09999999999999964,10.0
TruckDrive scene_28_1,0,300-400,Vehicle-Passenger,4,2,1,3,1,1,2,0,1,75.0,25.0,50.0,300.11902983962705,317.31857064731463,50.0,25.0,0.75,2.5,4.25,4.7,83.33333333333333,0.0,0.0,0.0,0.0,0.25,0.7000000000000002,50.0
TruckDrive scene_28_1,0,300-400,Vehicle-SemiTruck-Trailer,10,1,1,7,0,0,7,0,3,70.0,0.0,70.0,305.54652914811135,360.39229981232,70.0,50.0,1.0,4.5,6.0,6.199999999999999,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0,300-400,Vehicle-SingleUnitTruck,66,1,1,56,23,22,34,1,9,84.84848484848484,34.84848484848485,50.0,319.4434577500605,334.58773656427076,81.81818181818183,78.78787878787878,5.0,14.5,32.0,45.0,84.84848484848484,0.0,0.0,0.0,0.0,1.0,2.0,34.84848484848485
TruckDrive scene_28_1,0.5,100-150,RoadObstruction,7,3,1,6,3,2,4,1,0,85.71428571428571,42.857142857142854,42.857142857142854,118.42076124826906,148.14163056552863,57.14285714285714,57.14285714285714,1.5,7.0,8.5,11.800000000000002,66.66666666666666,0.0,0.0,0.0,0.0,1.0,1.4000000000000004,55.55555555555555
TruckDrive scene_28_1,0.5,100-150,RoadObstruction-Barrel,818,33,1,791,417,403,388,14,13,96.69926650366747,50.97799511002445,45.72127139364303,100.01457537159469,149.97922295360033,95.2322738386308,92.05378973105135,12.0,22.0,36.0,52.0,94.48345621773613,1.3447432762836184,0.0,0.0,1.0,1.0,1.0,46.42992208134404
TruckDrive scene_28_1,0.5,100-150,TrafficSign,156,6,1,124,18,16,108,2,30,79.48717948717949,11.538461538461538,67.94871794871794,100.19181652435485,149.8043785510788,75.0,65.38461538461539,2.75,9.0,18.75,38.5,74.70821661998133,0.0,0.0,0.0,0.0,0.0,1.0,8.915343915343914
TruckDrive scene_28_1,0.5,100-150,Vehicle,2,2,1,2,1,1,1,0,0,100.0,50.0,50.0,103.24562354992077,105.19727738209124,100.0,100.0,13.0,21.0,29.0,33.8,100.0,0.0,0.0,0.25,0.5,0.75,0.9,50.0
TruckDrive scene_28_1,0.5,100-150,Vehicle-Passenger,92,12,1,57,34,20,37,14,21,61.95652173913043,36.95652173913043,25.0,101.32213224682401,149.2369210404858,30.434782608695656,25.0,0.0,1.0,4.25,8.0,67.0935545935546,8.695652173913043,0.0,0.0,0.0,1.0,2.0,44.182449494949495
TruckDrive scene_28_1,0.5,100-150,Vehicle-SemiTruck-Cab,56,3,1,49,53,46,3,7,0,87.5,94.64285714285714,-7.14285714285714,100.72348409572426,149.76689794980814,66.07142857142857,42.857142857142854,2.0,4.0,7.25,13.5,91.38888888888889,89.28571428571429,85.71428571428571,8.75,12.0,13.0,15.0,87.5
TruckDrive scene_28_1,0.5,100-150,Vehicle-SemiTruck-Trailer,82,3,1,82,79,79,3,0,0,100.0,96.34146341463415,3.658536585365857,100.94716176235136,149.98265214178997,97.5609756097561,97.5609756097561,133.5,222.0,337.75,427.8,100.0,95.1219512195122,92.6829268292683,15.25,21.0,32.0,34.900000000000006,87.5
TruckDrive scene_28_1,0.5,100-150,Vehicle-Trailer,8,1,1,8,8,8,0,0,0,100.0,100.0,0.0,101.427086396625,143.95855396264096,100.0,87.5,9.75,12.0,16.5,22.5,100.0,100.0,100.0,6.0,6.0,7.0,7.6,100.0
TruckDrive scene_28_1,0.5,150-200,RoadObstruction,121,10,1,108,25,21,87,4,9,89.25619834710744,20.66115702479339,68.59504132231406,150.12315334501665,199.34786625091186,80.16528925619835,69.42148760330579,4.0,7.0,12.0,17.0,81.30341880341881,0.8264462809917356,0.0,0.0,0.0,0.0,1.0,22.105329311211666
TruckDrive scene_28_1,0.5,150-200,RoadObstruction-Barrel,501,28,1,460,103,100,360,3,38,91.81636726546905,20.55888223552894,71.25748502994011,150.18881488316208,199.9598835058869,86.82634730538922,79.64071856287424,6.0,13.0,21.0,34.0,85.61391252305118,0.39920159680638717,0.0,0.0,0.0,0.0,1.0,22.12370874923396
TruckDrive scene_28_1,0.5,150-200,TrafficSign,135,6,1,105,13,11,94,2,28,77.77777777777779,9.62962962962963,68.14814814814815,150.46351837524435,199.4582304627573,52.59259259259259,44.44444444444444,1.0,3.0,11.0,21.0,80.47619047619047,0.0,0.0,0.0,0.0,0.0,0.0,7.083333333333333
TruckDrive scene_28_1,0.5,150-200,Vehicle,13,2,1,11,3,2,9,1,1,84.61538461538461,23.076923076923077,61.53846153846154,153.9345667754653,177.66030580339623,76.92307692307693,46.15384615384615,3.0,4.0,7.0,8.0,90.90909090909092,7.6923076923076925,0.0,0.0,0.0,0.0,1.8000000000000007,54.54545454545454
TruckDrive scene_28_1,0.5,150-200,Vehicle-Equipment,10,1,1,10,10,10,0,0,0,100.0,100.0,0.0,157.54399975837083,176.7192198830252,90.0,70.0,4.5,8.0,8.75,11.499999999999998,100.0,20.0,10.0,1.0,2.0,2.0,3.1999999999999993,100.0
TruckDrive scene_28_1,0.5,150-200,Vehicle-Passenger,75,6,1,59,36,33,26,3,13,78.66666666666666,48.0,30.666666666666664,151.0619362964807,199.38623449739094,62.66666666666667,54.666666666666664,1.0,7.0,70.0,97.40000000000003,78.26576576576576,21.333333333333336,4.0,0.0,0.0,2.0,3.0,41.15990990990991
TruckDrive scene_28_1,0.5,150-200,Vehicle-SemiTruck-Cab,196,2,1,109,164,108,1,56,31,55.61224489795919,83.6734693877551,-28.061224489795922,150.28445056882035,199.9727196236663,51.02040816326531,42.857142857142854,0.0,3.0,8.0,14.0,58.23031517986412,76.0204081632653,65.81632653061224,3.0,7.0,10.0,13.0,86.71344247689052
TruckDrive scene_28_1,0.5,150-200,Vehicle-SemiTruck-Trailer,282,3,1,279,270,268,11,2,1,98.93617021276596,95.74468085106383,3.1914893617021267,150.460035868499,199.95018127263168,98.93617021276596,98.22695035460993,26.0,298.0,440.25,621.9,99.42857142857143,87.2340425531915,76.59574468085107,5.0,9.0,18.75,27.0,69.60846560846562
TruckDrive scene_28_1,0.5,150-200,Vehicle-Trailer,6,1,1,4,6,4,0,2,0,66.66666666666666,100.0,-33.333333333333336,150.0086873666493,180.01756728674582,50.0,50.0,0.25,3.0,5.75,15.0,66.66666666666666,100.0,66.66666666666666,4.25,5.5,6.0,6.0,100.0
TruckDrive scene_28_1,0.5,200-250,RoadObstruction,127,9,1,97,5,3,94,2,28,76.37795275590551,3.937007874015748,72.44094488188976,200.00315051034195,249.01143860608167,65.35433070866141,46.45669291338583,1.0,4.0,8.0,11.400000000000006,76.31143366437485,0.0,0.0,0.0,0.0,0.0,0.0,3.740014524328249
TruckDrive scene_28_1,0.5,200-250,RoadObstruction-Barrel,273,19,1,238,67,56,182,11,24,87.17948717948718,24.54212454212454,62.637362637362635,200.0094819682491,249.88406295481,79.85347985347985,72.16117216117216,4.0,9.0,19.0,27.0,81.58286845593346,0.3663003663003663,0.0,0.0,0.0,0.0,1.0,21.141012410362254
TruckDrive scene_28_1,0.5,200-250,TrafficSign,115,6,1,100,10,10,90,0,15,86.95652173913044,8.695652173913043,78.26086956521738,200.00376600891855,249.99656504791636,70.43478260869566,56.52173913043478,2.0,6.0,14.0,21.0,80.32135076252725,0.0,0.0,0.0,0.0,0.0,0.0,6.699346405228758
TruckDrive scene_28_1,0.5,200-250,Vehicle-Passenger,115,5,1,99,71,64,35,7,9,86.08695652173914,61.73913043478261,24.347826086956527,200.01251389859453,249.9157658332935,79.13043478260869,75.65217391304347,5.0,15.0,48.5,72.0,69.26406926406928,17.391304347826086,0.8695652173913043,0.0,1.0,2.0,3.0,44.82825145868624
TruckDrive scene_28_1,0.5,200-250,Vehicle-SemiTruck-Cab,77,1,1,27,61,20,7,41,9,35.064935064935064,79.22077922077922,-44.15584415584416,200.15387628289645,217.06820005782032,19.480519480519483,11.688311688311687,0.0,0.0,1.0,5.0,35.064935064935064,27.27272727272727,10.38961038961039,1.0,1.0,3.0,4.400000000000006,79.22077922077922
TruckDrive scene_28_1,0.5,200-250,Vehicle-SemiTruck-Trailer,67,3,1,67,59,59,8,0,0,100.0,88.05970149253731,11.940298507462687,200.20689478211568,246.40545780793374,98.50746268656717,97.01492537313433,263.5,311.0,337.5,356.4,100.0,88.05970149253731,73.13432835820896,4.0,6.0,8.0,9.0,66.66666666666666
TruckDrive scene_28_1,0.5,250-300,RoadObstruction,29,5,1,23,0,0,23,0,6,79.3103448275862,0.0,79.3103448275862,250.2288925344351,299.5014125341751,62.06896551724138,44.827586206896555,1.0,4.0,7.0,9.0,89.84126984126985,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0.5,250-300,RoadObstruction-Barrel,218,14,1,173,45,37,136,8,37,79.35779816513761,20.642201834862387,58.71559633027523,250.11739360716103,299.87006924638484,67.88990825688074,55.5045871559633,1.0,5.0,10.0,15.0,81.39589169000932,0.45871559633027525,0.0,0.0,0.0,0.0,1.0,18.586601307189543
TruckDrive scene_28_1,0.5,250-300,TrafficSign,86,5,1,67,0,0,67,0,19,77.90697674418605,0.0,77.90697674418605,250.68930178872827,299.6499128197861,56.97674418604651,51.162790697674424,1.0,5.0,10.0,15.5,74.61176470588235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0.5,250-300,Vehicle,10,1,1,8,8,6,2,2,0,80.0,80.0,0.0,265.6654006693676,266.7376496574426,80.0,80.0,5.0,7.5,10.0,12.2,80.0,0.0,0.0,1.0,1.0,2.0,2.0,80.0
TruckDrive scene_28_1,0.5,250-300,Vehicle-Passenger,246,4,1,188,150,136,52,14,44,76.42276422764228,60.97560975609756,15.44715447154472,250.11750228053708,299.51983694674055,73.17073170731707,69.10569105691057,1.25,9.0,51.5,76.0,61.69518027961737,17.073170731707318,2.0325203252032518,0.0,1.0,2.0,3.0,63.20824135393672
TruckDrive scene_28_1,0.5,250-300,Vehicle-SemiTruck-Trailer,9,1,1,9,3,3,6,0,0,100.0,33.33333333333333,66.66666666666667,252.27707426716097,299.5495255467652,100.0,100.0,7.0,9.0,11.0,20.8,100.0,0.0,0.0,0.0,0.0,1.0,1.0,33.33333333333333
TruckDrive scene_28_1,0.5,300-400,RoadObstruction,5,1,1,4,0,0,4,0,1,80.0,0.0,80.0,302.34796990588984,313.69648018589555,60.0,40.0,2.0,4.0,5.0,6.800000000000001,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0.5,300-400,RoadObstruction-Barrel,219,12,1,132,29,15,117,14,73,60.273972602739725,13.24200913242009,47.03196347031963,300.0392261284474,399.0340624161176,44.74885844748858,32.42009132420091,0.0,2.0,6.0,12.0,62.72302399220558,0.45662100456621,0.0,0.0,0.0,0.0,1.0,10.383175009134089
TruckDrive scene_28_1,0.5,300-400,TrafficSign,14,3,1,5,1,0,5,1,8,35.714285714285715,7.142857142857142,28.57142857142857,300.4378987612268,323.81138975349904,21.428571428571427,14.285714285714285,0.0,0.0,1.75,6.100000000000003,57.407407407407405,0.0,0.0,0.0,0.0,0.0,0.0,3.7037037037037033
TruckDrive scene_28_1,0.5,300-400,Vehicle,10,1,1,10,3,3,7,0,0,100.0,30.0,70.0,324.49513098152073,335.428006153817,90.0,70.0,4.25,9.5,22.25,28.799999999999994,100.0,0.0,0.0,0.0,0.0,0.75,1.0999999999999996,30.0
TruckDrive scene_28_1,0.5,300-400,Vehicle-Passenger,4,2,1,3,1,1,2,0,1,75.0,25.0,50.0,300.11902983962705,317.31857064731463,75.0,50.0,3.0,4.5,6.0,7.800000000000001,83.33333333333333,0.0,0.0,0.0,0.0,0.25,0.7000000000000002,50.0
TruckDrive scene_28_1,0.5,300-400,Vehicle-SemiTruck-Trailer,10,1,1,7,0,0,7,0,3,70.0,0.0,70.0,305.54652914811135,360.39229981232,70.0,60.0,1.0,5.5,6.0,6.199999999999999,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TruckDrive scene_28_1,0.5,300-400,Vehicle-SingleUnitTruck,66,1,1,59,35,35,24,0,7,89.39393939393939,53.03030303030303,36.36363636363637,319.4434577500605,334.58773656427076,89.39393939393939,89.39393939393939,28.5,46.0,69.75,82.0,89.39393939393939,13.636363636363635,0.0,0.0,1.0,2.0,3.0,53.03030303030303
